1,成都豪能科技股份有限公司全资子公司泸州长江机械有限公司与MAGNA POWERTRAIN在四川省泸州市签署了《供应商战略合作协议》，确认MAGNA POWERTRAIN成为泸州长江机械有限公司的供应商。
2,山东玲珑轮胎股份有限公司于 2016 年 10 月 11 日通过德国大众汽车集团潜在供应商评审，成为德国大众汽车集团的正式供应商。
3,江苏振江新能源装备股份有限公司通过风电行业国际知名企业ENERCON GmbH供应商资格认证，正式成为ENERCON GmbH的供应商。
4,桂林福达股份有限公司近日收到东风雷诺汽车有限公司的《零部件供应商承制通知书》，确认桂林福达股份有限公司成为东风雷诺汽车有限公司某产品项目中的曲轴毛坯的供应商，约定在 2023 年前向公司采购金额约为人民币 1 亿元的曲轴毛坯产品。
5,天津银龙预应力材料股份有限公司于近日获得中国核工业集团有限公司委托兴原认证中心有限公司评审后颁发的《中核集团合格供应商证书》。
6,东方锅炉股份有限公司是东方电气股份有限公司的最大供应商。
7,陕西投资集团有限公司钢材贸易2016年最大上游供应商是山西西山煤电贸易有限责任公司。
8,报告期，河北养元智汇饮品股份有限公司对易拉罐的采购最大的供应商是嘉美食品包装股份有限公司及其子公司。
9,南京恩瑞特实业有限公司是南京轨道交通系统工程有限公司的合格供应商，南京轨道交通系统工程有限公司与南京恩瑞特实业有限公司存在业务往来。
10,"2017年12月6日，广东联泰环保股份有限公司与设备供应商湖南省机械设备进出口公司已完成项目设备及相关服务采购合同签订，合同金额27,697.88万元。"
11,广东力王高新科技股份有限公司作为小米科技有限公司的二级供应商，近日通过了小米的供应商资源池资格审核，在小米的18W、27W充电器中用的电子变压器被认定为一供。
12,浙江嘉利（丽水）工业股份有限公司于2015年10月份通过广汽三菱汽车有限公司审核认证，成为广汽三菱主材料(灯具产品)合格供应商，并于近期正式开展业务合作。
13,浙江银轮机械股份有限公司近期与东风雷诺汽车有限公司签订供应商定点合同，浙江银轮机械股份有限公司被确定为东风雷诺汽车有限公司供应商。
14,浙江银轮机械股份有限公司近期与浙江吉利汽车零部件采购有限公司签订PMA纯电动平台热交换总成的供应商定点合同，浙江银轮机械股份有限公司成为浙江吉利汽车零部件采购有限公司指定供应商。
15,经烽火通信科技股份有限公司的多番现场考察、体系审核、资质审查、技术分析和综合评定，虎符智能科技股份有限公司于近日正式成为烽火通信科技股份有限公司的供应商。 
16,深圳市凯中精密技术股份有限公司于2018年2月7日通过德国采埃孚（ZF）集团潜在供应商评审，获得供应商代码，成为德国采埃孚（ZF）集团新能源汽车驱动电机连接器正式供应商。
17,天津鹏翎集团股份有限公司于2018年9月30日收到一汽大众汽车有限公司的通知，天津鹏翎集团股份有限公司被定为一汽大众汽车有限公司“奥迪”纯电动车型项目冷却水管产品的批量供应商。
18,近日，武汉精测电子技术股份有限公司获得美国苹果公司供应商代码，正式取得美国苹果公司的供应商资格。至此，武汉精测电子技术股份有限公司已正式纳入美国苹果公司的供应商体系。
19,近日，河南环宇石化装备科技股份有限公司正式通过了中国石油化工集团公司的集团化采购供应商资格审核，从而具备了中国石油化工集团公司化采购供应商资格。 
20,安徽中鼎密封件股份有限公司近期收到北京车和家信息技术有限公司的通知，安徽中鼎密封件股份有限公司成为“M01新能源SUV汽车项目”整车冷却管路及中冷管总成产品的批量供应商。
21,近日，哈尔滨东安汽车动力股份有限公司收到北京车和家信息技术有限公司的通知，公司成为其M01项目的发动机总成供应商。
22,山东雄狮建筑装饰股份有限公司于近日取得万科企业股份有限公司颁发的2018-2019年度万科集团总对总战略合作供应商证书，山东雄狮建筑装饰股份有限公司成功入选万科企业股份有限公司战略合作供应商，合作范围为装修业务。
23,广东力王高新科技股份有限公司作为华为技术有限公司的二级供应商，近日通过了华为的供应商资源池资格审核。
